epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.6165,1.28464,1.62384,1.17876,0.82025,0.79573,0.8447,0.55288,1.01092,1.0264,1.01687,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512
2,78.4234,1.22369,1.01425,1.12407,0.7555,0.75609,0.79212,0.4679,1.21466,1.03195,1.12077,0.0197479,0.00658263,0.0197479,0.00658263,0.0197479,0.00658263,0.0197479,0.00658263
3,114.737,1.29895,1.03702,1.1761,0.67976,0.60446,0.66334,0.37379,1.43746,1.79723,1.31472,0.0293524,0.00978415,0.0293524,0.00978415,0.0293524,0.00978415,0.0293524,0.00978415
4,148.588,1.31074,0.9998,1.19717,0.81561,0.72149,0.77838,0.46712,1.33979,1.28319,1.20529,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,181.94,1.23829,0.91994,1.16405,0.86807,0.82353,0.87556,0.56663,1.17895,0.79252,1.11878,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,215.572,1.19982,0.8639,1.14664,0.88809,0.82873,0.87183,0.57585,1.10571,0.77259,1.09425,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,248.612,1.16238,0.82992,1.12963,0.87398,0.84058,0.89189,0.59446,1.06775,0.72217,1.06323,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,283.478,1.13373,0.79479,1.11527,0.87077,0.88197,0.91079,0.64011,0.92606,0.73468,1.02189,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,317.115,1.10513,0.77055,1.10253,0.89729,0.88712,0.91177,0.64517,0.9115,0.63417,1.01397,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,350.727,1.09369,0.75318,1.09795,0.89191,0.8723,0.91124,0.65477,0.87587,0.61083,1.00495,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,384.017,1.07669,0.7472,1.09004,0.90939,0.87835,0.91933,0.66595,0.85602,0.59353,0.99569,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,417.526,1.06136,0.72993,1.08423,0.90812,0.89736,0.91997,0.674,0.84467,0.57942,0.99001,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,450.929,1.05182,0.71855,1.07959,0.90602,0.90137,0.92333,0.67117,0.82471,0.57356,0.98608,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,484.334,1.04419,0.71237,1.07727,0.91641,0.89695,0.92505,0.67707,0.83103,0.56202,0.98608,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,517.631,1.0335,0.70291,1.06994,0.91818,0.9116,0.93098,0.68311,0.82771,0.55711,0.97956,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,551.153,1.01829,0.685,1.06305,0.90638,0.91486,0.93325,0.68783,0.81738,0.55836,0.97965,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,584.892,1.00963,0.68034,1.05981,0.92249,0.91083,0.92684,0.6873,0.80423,0.53737,0.97228,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,618.186,0.99696,0.66875,1.05338,0.92334,0.91799,0.9288,0.69027,0.78254,0.53453,0.96784,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,651.476,0.99911,0.66713,1.05479,0.93052,0.90749,0.92997,0.69432,0.77801,0.52503,0.96567,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,684.996,0.99758,0.66671,1.05659,0.92749,0.91952,0.93301,0.69621,0.78669,0.51931,0.96742,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,718.548,0.99067,0.66205,1.05448,0.92495,0.92067,0.93437,0.70713,0.76388,0.51693,0.96245,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,750.882,0.98926,0.6566,1.04889,0.92995,0.91953,0.93174,0.70336,0.75601,0.51135,0.95517,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,784.235,0.97702,0.65272,1.04793,0.93266,0.9215,0.93318,0.7062,0.75368,0.51255,0.95419,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,817.649,0.97437,0.64744,1.04382,0.92945,0.92687,0.9365,0.70686,0.75506,0.50461,0.95599,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,851.149,0.96359,0.63594,1.03805,0.92906,0.92789,0.93836,0.70849,0.75036,0.49822,0.95495,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,884.448,0.96327,0.63406,1.03868,0.93823,0.91705,0.93411,0.70584,0.75589,0.49767,0.95463,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,917.468,0.95605,0.62861,1.03658,0.92996,0.92778,0.93821,0.71402,0.74353,0.48911,0.95037,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,950.721,0.95539,0.62818,1.03769,0.92769,0.92906,0.9394,0.71636,0.74095,0.49297,0.94987,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,983.623,0.94951,0.62573,1.0349,0.93768,0.92382,0.93985,0.72032,0.73676,0.48569,0.95054,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1016.39,0.94298,0.62118,1.03323,0.93741,0.92817,0.93702,0.71791,0.72305,0.48103,0.94583,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1049.78,0.94185,0.61554,1.03181,0.93544,0.92693,0.9407,0.72468,0.72079,0.47925,0.94176,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1083.82,0.93765,0.61084,1.02917,0.93641,0.92537,0.94133,0.72492,0.71947,0.47352,0.94173,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1118.09,0.93229,0.61349,1.02796,0.93518,0.93038,0.94156,0.72132,0.72091,0.4761,0.94368,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1151.74,0.92857,0.60658,1.02569,0.93544,0.93078,0.94174,0.72194,0.71976,0.46885,0.94195,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1185.2,0.92622,0.60268,1.02573,0.93491,0.92784,0.945,0.7275,0.71684,0.46983,0.94099,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1218.48,0.92492,0.60107,1.02434,0.93503,0.93255,0.9441,0.7269,0.71174,0.4633,0.93676,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1252.03,0.922,0.59955,1.02386,0.93888,0.92704,0.94131,0.72882,0.7094,0.46213,0.93778,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1284.46,0.91241,0.59019,1.01869,0.92924,0.93461,0.94295,0.73011,0.7022,0.46242,0.93501,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1318.28,0.91458,0.59432,1.02023,0.93397,0.93507,0.94552,0.73115,0.69926,0.46004,0.93648,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1352.39,0.90379,0.58872,1.01845,0.93733,0.93594,0.94277,0.73259,0.69691,0.45467,0.9333,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1387.47,0.90345,0.58701,1.01679,0.93692,0.93502,0.94307,0.73245,0.69471,0.4583,0.93317,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1421.19,0.9057,0.58914,1.01826,0.93713,0.93538,0.94482,0.73301,0.69394,0.45152,0.93022,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1455.21,0.89993,0.58492,1.01444,0.93316,0.9362,0.94564,0.73275,0.69533,0.45273,0.93246,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1488.79,0.89498,0.57846,1.01147,0.93643,0.93375,0.94831,0.7392,0.69015,0.4474,0.93021,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1523.08,0.89914,0.57963,1.01425,0.93889,0.93145,0.94645,0.73827,0.6901,0.4477,0.93103,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1557.17,0.89265,0.57644,1.01256,0.93419,0.93574,0.94651,0.73997,0.68781,0.44681,0.93124,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1590.5,0.88893,0.57513,1.01189,0.93516,0.93996,0.94863,0.74057,0.68453,0.44267,0.92838,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1623.99,0.8815,0.5672,1.00396,0.93662,0.93726,0.94957,0.74087,0.68509,0.44447,0.92727,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1657.37,0.88156,0.56672,1.00613,0.93961,0.93266,0.94773,0.73933,0.6817,0.44223,0.92816,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1690.78,0.88004,0.5667,1.00959,0.93662,0.94094,0.95021,0.74328,0.67936,0.44102,0.92615,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1724.39,0.87626,0.56144,1.00497,0.9424,0.93727,0.94971,0.74231,0.67967,0.4373,0.9275,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1758.22,0.87282,0.55973,1.00523,0.94333,0.93816,0.94866,0.74264,0.67564,0.43489,0.9251,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1791.97,0.87636,0.56292,1.00543,0.9437,0.93588,0.94936,0.746,0.67296,0.4315,0.92364,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1825.66,0.87168,0.5588,1.00358,0.94422,0.93698,0.95039,0.74742,0.67234,0.42934,0.92358,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1859.33,0.87,0.55892,1.00163,0.93991,0.94231,0.95071,0.74703,0.67287,0.43014,0.92344,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
