epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.438,0.89963,0.49756,0.00723,0.92474,0.92667,0.9464,0.73798,0.76476,0.41797,0.00694,0.00055263,0.00055263,0.00055263
2,69.6053,0.98865,0.55907,0.00812,0.9247,0.91911,0.94502,0.7216,0.8053,0.43412,0.00756,0.00108087,0.00108087,0.00108087
3,100.617,1.07123,0.63062,0.00903,0.90693,0.9115,0.93231,0.68487,0.8776,0.48422,0.00849,0.0015816,0.0015816,0.0015816
4,131.331,1.09885,0.65618,0.00938,0.90915,0.90686,0.93155,0.68949,0.87235,0.48533,0.00818,0.00154323,0.00154323,0.00154323
5,162.568,1.09554,0.65436,0.00933,0.91285,0.90054,0.93265,0.68933,0.86828,0.45939,0.00818,0.00150197,0.00150197,0.00150197
6,193.697,1.09664,0.65876,0.00928,0.91434,0.91538,0.93754,0.69831,0.86446,0.46817,0.00809,0.00146071,0.00146071,0.00146071
7,224.742,1.08428,0.65046,0.00914,0.92046,0.91181,0.93481,0.69817,0.84705,0.45085,0.00783,0.00141945,0.00141945,0.00141945
8,255.808,1.07939,0.63491,0.00911,0.9116,0.90762,0.94023,0.70483,0.83219,0.46214,0.00773,0.00137819,0.00137819,0.00137819
9,286.74,1.06355,0.62679,0.00899,0.92012,0.91227,0.93867,0.70015,0.84271,0.44327,0.00776,0.00133693,0.00133693,0.00133693
10,317.718,1.0558,0.61523,0.00893,0.91376,0.91075,0.93907,0.69957,0.85429,0.45756,0.00808,0.00129568,0.00129568,0.00129568
11,348.695,1.04808,0.61793,0.00886,0.92718,0.91181,0.94485,0.71861,0.79646,0.41878,0.00735,0.00125442,0.00125442,0.00125442
12,379.77,1.03859,0.60364,0.00873,0.92837,0.91953,0.94138,0.7115,0.82167,0.4308,0.00754,0.00121316,0.00121316,0.00121316
13,410.78,1.02945,0.6066,0.00862,0.93027,0.91069,0.94582,0.72424,0.79989,0.43088,0.00742,0.0011719,0.0011719,0.0011719
14,441.73,1.02897,0.59852,0.00864,0.90714,0.92063,0.94056,0.71954,0.80791,0.44391,0.00748,0.00113064,0.00113064,0.00113064
15,472.306,1.03219,0.61042,0.00853,0.924,0.92383,0.94573,0.72289,0.79613,0.41474,0.00736,0.00108938,0.00108938,0.00108938
16,503.076,1.01085,0.57513,0.0084,0.92704,0.92359,0.94699,0.73066,0.78048,0.41473,0.00709,0.00104813,0.00104813,0.00104813
17,533.967,1.00092,0.57376,0.00828,0.93681,0.92092,0.94706,0.73368,0.77176,0.41313,0.0071,0.00100687,0.00100687,0.00100687
18,565.013,0.99162,0.56564,0.00817,0.92749,0.92619,0.94437,0.73124,0.77403,0.41804,0.00722,0.00096561,0.00096561,0.00096561
19,596.316,0.99239,0.56471,0.00817,0.92766,0.92894,0.94889,0.73507,0.769,0.40132,0.007,0.000924352,0.000924352,0.000924352
20,627.344,0.9877,0.56138,0.00817,0.92493,0.92342,0.94536,0.72827,0.77883,0.41488,0.00707,0.000883093,0.000883093,0.000883093
21,658.931,0.98032,0.55636,0.00809,0.93238,0.91985,0.94809,0.73535,0.76468,0.4137,0.00705,0.000841835,0.000841835,0.000841835
22,689.693,0.98226,0.55369,0.00798,0.92347,0.92223,0.94621,0.73446,0.75864,0.403,0.00689,0.000800577,0.000800577,0.000800577
23,720.832,0.96681,0.54221,0.00805,0.92723,0.9254,0.9488,0.73557,0.75455,0.40064,0.00687,0.000759318,0.000759318,0.000759318
24,751.968,0.96685,0.54874,0.00786,0.94188,0.91837,0.94971,0.7436,0.74956,0.40131,0.00685,0.00071806,0.00071806,0.00071806
25,783.113,0.95108,0.53614,0.00771,0.93033,0.93105,0.94803,0.74466,0.74675,0.39622,0.00685,0.000676802,0.000676802,0.000676802
26,814.051,0.94828,0.53138,0.00763,0.93221,0.92942,0.94731,0.74293,0.74091,0.40091,0.00667,0.000635544,0.000635544,0.000635544
27,844.892,0.94035,0.52876,0.00764,0.92955,0.92378,0.95008,0.7459,0.74215,0.39398,0.00674,0.000594286,0.000594286,0.000594286
28,875.84,0.93684,0.52338,0.00769,0.93545,0.93036,0.9503,0.74648,0.73973,0.39093,0.00665,0.000553027,0.000553027,0.000553027
29,906.843,0.92939,0.51916,0.00749,0.93758,0.92584,0.95032,0.74663,0.74234,0.39477,0.00669,0.000511769,0.000511769,0.000511769
30,937.939,0.92222,0.51289,0.00746,0.93665,0.92967,0.95193,0.7507,0.7302,0.38892,0.00662,0.000470511,0.000470511,0.000470511
31,970.07,0.78681,0.37731,0.00808,0.93552,0.92931,0.94868,0.74671,0.73783,0.39192,0.00667,0.000429253,0.000429253,0.000429253
32,1001.12,0.77346,0.36868,0.00782,0.9357,0.93661,0.95132,0.74816,0.73287,0.38536,0.00661,0.000387994,0.000387994,0.000387994
33,1031.99,0.76617,0.36202,0.00771,0.93785,0.92961,0.94987,0.74828,0.72967,0.39423,0.00652,0.000346736,0.000346736,0.000346736
34,1063.12,0.7541,0.35498,0.00763,0.93389,0.93495,0.94949,0.75142,0.72528,0.39006,0.0065,0.000305478,0.000305478,0.000305478
35,1094.22,0.75051,0.35123,0.00755,0.93845,0.9301,0.95331,0.75241,0.72564,0.38519,0.00652,0.00026422,0.00026422,0.00026422
36,1125.2,0.7405,0.3498,0.00743,0.93219,0.93975,0.95293,0.75418,0.72166,0.38432,0.00648,0.000222961,0.000222961,0.000222961
37,1156.28,0.73726,0.3459,0.00737,0.93218,0.93609,0.95251,0.75397,0.71961,0.38583,0.00644,0.000181703,0.000181703,0.000181703
